[0] stm_hospital_001 | file=935_stomach_hurt_chat.yaml | intent=complaint | kws=['去医院', '急诊', '胃镜', '检查', '看消化科'] | utt=['去医院', '看急诊', '胃镜检查'] | sibs=ws_boss_check_003(203_work_slack):老板查岗 | hd_chronic_001(936_headache_complain):一直头痛 | in_see_gastroenterology_001(III7_indigestion):{user_addr}想看消化科 | bf_seedoctor_001(MMM8_burnout_founder):该去看医生了喵 | cc_yiyuan_001(041_catch_a_cold_sick):去医院 | bl_doctor_001(III5_bloating):{user_addr}要不要看医生
[102] gs_strange_match_011 | file=169_game_session.yaml | intent=complaint | kws=['打野', '上单', '中单', '辅助', '选位置'] | utt=['想打野', '选上单', '中单霸主'] | sibs=gcl_jungle_001(498_gacha_luck):打野去抓人 | gv_daye_001(138_game_vibes):打野 | gpl_jungle_001(546_gacha_pull_luck):打野 | jcg_junglestart_001(645_jungle_carry_glory):打野 | lsw_wn_006(777_lucky_streak_win):打野gank | gg_dayue_001(071_game_gacha_pull):打野
[103] edc_energy_006 | file=565_energy_drink_chat.yaml | intent=complaint | kws=['心跳', '睡不着', '太甜', '上瘾', '太多咖啡因'] | utt=['喝完心跳加快', '{user_addr}今晚怕是失眠', '太甜了齁'] | sibs=ktb_xinjiao_001(365_kiss_tease_blush):心跳 | fb_blush_011(163_flirting_back):{user_addr}脸红了 | fl_qiwen_007(304_fanliao_flirt_back):心跳加速 | at_aimei_009(434_ambiguous_tease):心跳 | fb_xinran_001(130_flirt_back):笨猫让我心动 | fbb_caught_001(533_flirt_back_blush):被你撩到
[104] fs_yugan_002 | file=409_fish_snack.yaml | intent=playful | kws=['罐头', '猫罐', '猫粮', '猫零食', '猫条'] | utt=['猫罐', '罐头', '猫粮'] | sibs=cf_mlcao_001(066_cat_fish_snack):猫薄荷 | wf_yugan_006(447_want_fish_jerky):罐头 | dfc_canned_001(543_dried_fish_crave):罐头 | cf_zhubin_001(066_cat_fish_snack):猫粮 | ptc_petfood_001(510_pet_chat):买猫粮 | cd_meowtreat_001(135_cat_daily):喂笨猫
[105] wc_quilt_001 | file=128_warmth_check.yaml | intent=playful | kws=['盖好被子', '蹬被子', '加被子', '厚被子', '被子'] | utt=['盖好被子', '蹬被子了', '厚被子'] | sibs=chl_blanket_001(953_cold_shiver):毛毯 | wtc_blanket_003(621_weather_too_cold):开电热毯 | wc_quilt_006(172_warm_clothing):被子厚 | bb_blk_005(583_blanket_burrow_cozy):我换新被子了 | dwm_warm_009(466_dress_warm_care):{user_addr}被子薄 | phs_blanket_003(616_pillow_hug_sleep):钻被窝了
[106] hpf_silent_treat_001 | file=531_hum_pout_face.yaml | intent=playful | kws=['不说话', '沉默', '闭嘴', '缄口', '噤声'] | utt=['不说话', '沉默', '闭嘴'] | sibs=cc_bushuohua_008(295_chicu_jealous):笨猫不说话 | cst_tr_003(776_cold_silent_treat):主人冷淡 | jp_cold_war_001(523_jealous_pout):冷战中 | ar_silent_treatment_005(200_anti_routine):冷战 | atc_chenmoshi_001(736_anti_trope_cold):沉默 | at_at_lengzhanrenwu_010(243_anti_trope):冷战
[107] wd_ganma_007 | file=422_what_doing_now.yaml | intent=playful | kws=['无聊到', '闲得发慌', '不知道干嘛', '找你陪聊', '闲死'] | utt=['无聊到爆', '闲得发慌', '不知道干啥'] | sibs=wdn_bored_001(081_what_doing_now):没事干 | rc_idle_001(150_random_chatter):闲着 | rc_in_the_middle_of_nothing_008(179_random_chat):无所事事 | bof_haoxian_003(008_busy_or_free):好闲 | chf_yawn_001(514_chat_filler):无聊 | bc_mangma_003(391_busy_check):不忙
[108] ab_awsl_001 | file=403_awsl_burst.yaml | intent=playful | kws=['awsl', '啊我死了', '太可爱', '萌死', '可爱炸'] | utt=['awsl', '啊我死了', '太可爱'] | sibs=er_awsl_004(158_emoji_reactions):awsl | er_er_awsl_004(229_emoji_react):awsl | res_awsl_001(358_random_emoji_spam):awsl | te_awsl_005(191_text_emoji):awsl | eh_awsl_001(052_emoji_heihei_laugh):awsl | aco_awsl_001(334_awsl_cute_overload):awsl
[109] sct_lost_001 | file=094_seek_comfort.yaml | intent=complaint | kws=['迷茫', '方向', '不知道做啥', '找不到方向', '没目标'] | utt=['迷茫', '{user_addr}方向', '不知道做啥'] | sibs=nc_anwei_006(427_need_comfort):迷茫 | cfr_lostdir_001(506_comfort_request):好迷茫 | nch_lost_001(524_need_comfort_hug):我迷茫 | exc_lost_001(LL9_existential_crisis):我好迷茫 | ug_lost_001(PP7_unclear_goal):我好迷茫 | wcm_comfort_008(462_want_comfort):{user_addr}迷茫
[110] ogf_yundong_007 | file=027_owner_got_fat.yaml | intent=question | kws=['运动', '跑步', '健身', '跳操', '锻炼'] | utt=['该运动', '跑步', '健身房'] | sibs=fbc_full_003(667_full_belly_chat):{user_addr}要消食 | wd_yundong_001(256_what_doing):跑步中 | tf_jianshen_001(270_tease_fat):去健身 | fitness_workout_001(91_health_fitness):健身有用吗 | wp_workout_008(180_weekend_plan):周末健身 | em_morning_run_008(186_early_morning):去晨跑
[111] pet_shedding_001 | file=C4_pet_care.yaml | intent=complaint | kws=['掉毛', '宠物掉毛', '猫狗掉毛', '掉毛太严重'] | utt=['家里到处都是毛怎么办', '猫最近掉毛好严重', '狗狗掉毛太夸张了'] | sibs=ptc_furtrouble_001(510_pet_chat):掉毛严重 | cet_ear_009(664_cat_ear_tease_chat):你掉毛了{user_addr} | nfs_shua_001(734_neko_fish_snack):梳毛 | cdl_groom_001(495_cat_daily_life):笨猫掉毛 | da_pet_fur_001(AA5_dust_anxiety):宠物毛好多 | mdc_diaomao_001(375_meow_daily_chatter):掉毛
[112] rfc_zhalanma_001 | file=744_random_fun_chat.yaml | intent=playful | kws=['冷笑话', '谐音梗', '段子', '网络梗', '脑筋急转弯'] | utt=['冷笑话', '{user_addr}谐音梗', '段子'] | sibs=lcx_jiangwu_001(362_laugh_cry_xs):讲烂梗 | eh_haha_004(431_emoji_haha):太搞笑了 | tt_typ_006(594_typo_text_fail):谐音梗笑死 | tp_xiehouyu_001(882_typo_funny):打成谐音梗了 | rs_couplespeak_001(144_random_silly):谐音梗 | lcx_pengyou_001(362_laugh_cry_xs):朋友圈段子
[113] awt_xixizao_001 | file=730_after_work_tired.yaml | intent=question | kws=['洗澡', '泡澡', '热水澡', '洗个澡', '冲凉'] | utt=['{user_addr}洗澡', '泡澡', '热水澡'] | sibs=sr_huan_001(281_shovel_return):换衣服 | nsc_brushteeth_001(075_night_sleep_chat):刷牙了吗 | shr_bath_001(108_shoveler_return):去洗澡 | wd_xizao_005(290_what_doing_now):在洗澡 | em_wash_005(186_early_morning):去刷牙 | wdn_xizao_009(005_what_doing_now):在洗澡
[114] tr_buzhongchun_001 | file=260_take_rest.yaml | intent=playful | kws=['冲一下', '续命', '加油', '撑住', '再撑会'] | utt=['撑一下', '续命中', '再撑会'] | sibs=gmd_coffee_001(516_good_morning_drowsy):先来杯咖啡 | mcf_morning_007(552_morning_coffee_first):没喝咖啡感觉魂没归位 | mcf_morning_001(552_morning_coffee_first):{user_addr}早上第一杯咖啡续命中 | mcf_morning_009(552_morning_coffee_first):今天美式加冰 | nlb_zhongwukekefei_010(003_noon_lunch_break):来杯咖啡 | scp_caffeine_001(547_study_cram_panic):喝咖啡
[115] ll_keys_lost_001 | file=Z7_lost_luggage.yaml | intent=complaint | kws=['钥匙丢了', '我钥匙丢了', '钥匙不见', '家钥匙丢了', '车钥匙丢'] | utt=['我钥匙丢了', '钥匙不见了', '家钥匙丢了'] | sibs=ct_lost_phone_008(166_commute_tired):手机丢了 | se_lostsomething_001(141_street_encounter):丢东西 | lsr_lost_keys_001(114_lost_something_road):钥匙丢 | lk_yueshi_001(808_lost_keys_search):钥匙丢了 | ltp_yaoshi_001(381_lost_thing_panic):钥匙不见 | lk_key_001(605_lost_keys_panic):钥匙找不到
[116] scr_sunscreen_004 | file=619_skincare_routine.yaml | intent=question | kws=['防晒', '涂防晒', '防晒霜', '出门防晒', '紫外线'] | utt=['涂防晒', '防晒霜', '出门防晒'] | sibs=hs_sum_004(588_hot_summer_complain):防暑怎么做 | sd_fangshai_001(786_sunny_day_warm):防晒霜 | hs_hot_003(652_hot_summer_chat):{user_addr}晒黑了 | sh_skincare_004(212_shopping_haul):护肤品 | sl_chumen_001(895_sunny_lazy_chat):太阳晃眼 | wc_summer_001(128_warmth_check):夏天太晒
[117] jcg_junglestart_001 | file=645_jungle_carry_glory.yaml | intent=playful | kws=['打野', '我打野', '上野位', '选打野', '抢野位'] | utt=['打野', '我打野', '上野位'] | sibs=gcl_jungle_001(498_gacha_luck):打野去抓人 | gv_daye_001(138_game_vibes):打野 | gs_strange_match_011(169_game_session):想打野 | gpl_jungle_001(546_gacha_pull_luck):打野 | lsw_wn_006(777_lucky_streak_win):打野gank | gg_dayue_001(071_game_gacha_pull):打野
[118] ng_lateowls_001 | file=121_night_goodnight.yaml | intent=complaint | kws=['熬夜', '不想睡', '还不睡', '还醒着', '熬到几点'] | utt=['还不想睡', '熬夜中', '几点了还醒'] | sibs=ss_ss_aoye_003(235_study_scene):熬夜 | ser_aoye_001(370_sleep_early_remind):熬夜 | ln_owl_life_008(154_late_night_chat):我是夜猫子 | wa_aoye_004(286_wanan_night_greeting):又熬夜了 | lno_aoye_005(002_late_night_owl):又熬夜了 | lnc_baoye_001(352_late_night_call):{user_addr}熬夜了
[119] wwc_zheme_004 | file=021_wuwu_crying.yaml | intent=complaint | kws=['怎么办', '怎么搞', '怎么处理', '急死', '不知所措'] | utt=['怎么办', '怎么搞', '急死'] | sibs=qc_how_001(148_question_curiosity):怎么办 | esw_elevator_006(570_elevator_stuck_wait):门快关时挤进去了 | cp_zenmeban_001(HH9_call_police):怎么办啊 | scc_metro_007(668_subway_commute_chat):错过班车{user_addr} | brf_brainfreeze_remedy_001(957_brain_freeze):怎么缓解 | esw_elevator_002(570_elevator_stuck_wait):{user_addr}抢电梯成功
[120] er_er_awsl_004 | file=229_emoji_react.yaml | intent=playful | kws=['awsl', '啊我死了', '可爱死', '萌死', 'awsl了'] | utt=['awsl', '啊我死了', '可爱死'] | sibs=er_awsl_004(158_emoji_reactions):awsl | ab_awsl_001(403_awsl_burst):awsl | res_awsl_001(358_random_emoji_spam):awsl | te_awsl_005(191_text_emoji):awsl | eh_awsl_001(052_emoji_heihei_laugh):awsl | aco_awsl_001(334_awsl_cute_overload):awsl
[121] tn_xufa_002 | file=310_tease_no_shave.yaml | intent=complaint | kws=['头发乱', '没梳头', '起床头', '鸡窝头', '头发翘'] | utt=['头发乱', '没梳头', '起床头'] | sibs=oft_zhubo_007(028_outfit_fail):发型差 | mwk_chuangqi_004(001_morning_wakeup_chat):刚起床 | mwg_face_005(318_morning_wake_grumpy):我脸肿了 | to_toufa_001(058_tease_master_outfit):头发乱 | jwg_renlian_001(356_just_wake_groggy):脸肿了 | tm_hair_messy_004(162_tease_master):头发好乱
[122] scc_metro_005 | file=668_subway_commute_chat.yaml | intent=playful | kws=['听歌通勤', '戴耳机', '刷剧', '看小说', '打游戏'] | utt=['听歌通勤{user_addr}', '戴耳机', '刷剧中'] | sibs=ld_binge_watch_007(178_lazy_day_off):追剧 | sub_crd_006(861_subway_crowded):地铁刷视频 | ic_ic_shouji_004(228_insomnia_chat):刷手机 | ct_tongqin_007(442_commute_tired):听歌通勤 | vm_kuanjie_001(885_voice_message_shy):在开会不能听 | wdn_zaikan_004(005_what_doing_now):在看啥
[123] jpt_other_girl_001 | file=093_jealous_pout.yaml | intent=complaint | kws=['别的女孩', '别的女生', '别的猫', '跟谁说话', '跟其他人'] | utt=['跟别的女孩', '{user_addr}别的猫', '跟谁说话'] | sibs=jv_chicu_002(426_jealous_vinegar):别的猫 | jch_jeal_002(461_jealous_chuyi):{user_addr}别的猫 | jp_other_cat_005(325_jealous_pout):别的猫娘 | jp_other_girl_001(U0_jealous_petty):那个女生好漂亮 | jp_chicu_001(U0_jealous_petty):笨猫吃醋了吗 | jv_bieren_001(262_jealous_vinegar):你跟别人聊
[124] asc_alarm_002 | file=551_alarm_snooze_chat.yaml | intent=playful | kws=['闹铃', '小睡', '按掉', '顺手', 'snooze'] | utt=['{user_addr}手已经条件反射按掉', '换了铃声还是按掉', '闹钟你嘴硬'] | sibs=asc_alarm_010(551_alarm_snooze_chat):再来一次铃响 | asc_alarm_008(551_alarm_snooze_chat):换了铃声还是按掉 | asc_alarm_001(551_alarm_snooze_chat):闹钟响了三次都按掉了 | asc_alarm_012(551_alarm_snooze_chat):{user_addr}手已经条件反射按掉 | lb_short_nap_005(171_lunch_break):打个盹 | asc_alarm_004(551_alarm_snooze_chat):闹钟你嘴硬
[125] slt_song_001 | file=117_small_lucky_thing.yaml | intent=playful | kws=['听到爱歌', '喜欢的歌', '单曲循环', '歌响起', 'bgm正好'] | utt=['听到爱歌', '{user_addr}喜欢的歌', '单曲循环'] | sibs=rs_xunhuan_001(991_random_song_stuck):脑海循环一首歌 | et_song_listen_007(686_earphone_tangle):{user_addr}戴耳机听歌 | msh_earworm_001(513_music_humming):洗脑神曲 | rdh_stuck_song_002(818_random_humming):{user_addr}这首歌卡脑子 | shs_mantai_001(383_small_happiness_share):一首歌 | mu_listening_001(210_music_mood):在听歌
[126] jr_no_response_001 | file=FFF6_job_replaced.yaml | intent=投递无反馈 | kws=['投递无反馈', '投了没回', '没人理', 'hr不回', '投简历没消息'] | utt=['{user_addr}投了一堆没人回喵', '{user_addr}HR都不理人家嗷呜', '{user_addr}投递无反馈啦'] | sibs=nl_no_listener_001(LLL6_no_listener):没人听我说话 | rc_chat_too_quiet_010(179_random_chat):没人说话 | ms_left_alone_001(942_missed_message):被忽略 | rgv_ignored_001(118_random_grievance):被无视 | ayt_hui_004(004_are_you_there):怎么没人理 | wce_cry_010(470_wuwu_cry_emoji):{user_addr}被忽视
[127] smf_xiaoxiaoxinxin_001 | file=741_sudden_micro_feel.yaml | intent=playful | kws=['小确幸', '小幸福', '微小快乐', '满足感', '心暖'] | utt=['小确幸', '{user_addr}小幸福', '微小快乐'] | sibs=shs_xiaoquex_001(383_small_happiness_share):小确幸 | sh_xiaoxing_001(416_small_happy):小确幸 | sh_xiaoxin_001(046_small_happy_moment):小确幸 | me_me_xiaoqv_004(232_micro_emotion):小确幸 | me_smallhappy_001(142_micro_emotion):小确幸 | mm_small_luck_004(205_micro_mood):小确幸
[128] wc_quilt_006 | file=172_warm_clothing.yaml | intent=playful | kws=['被子厚', '加被子', '钻被窝', '被窝暖', '厚被子'] | utt=['被子厚', '钻被窝', '加件被子'] | sibs=chl_blanket_001(953_cold_shiver):毛毯 | wtc_blanket_003(621_weather_too_cold):开电热毯 | nsc_warm_quilt_001(075_night_sleep_chat):被窝好暖 | dwm_warm_009(466_dress_warm_care):{user_addr}被子薄 | nf_wan_shangchuang_003(220_night_farewell):躺下了 | scl_zhebei_001(719_sleep_check_late):盖被子
[129] nch_yongbao_010 | file=012_need_comfort_hug.yaml | intent=complaint | kws=['拥抱', '大大拥抱', '紧紧抱', '抱紧', '拥抱一下'] | utt=['拥抱一下', '大大拥抱', '紧紧抱我'] | sibs=hgr_tight_hug_001(103_hug_request):抱紧紧 | cp_cp_yongbao_007(249_cyber_pda):拥抱 | whb_hug_002(475_want_hug_beg):{user_addr}大力抱 | hr_zhuayou_001(265_hug_request):大熊抱 | hr_yibao_001(055_hug_request):拥抱 | afh_baobao_001(025_ask_for_hug):抱抱呀
[130] scp_all_night_001 | file=547_study_cram_panic.yaml | intent=complaint | kws=['熬夜复习', '通宵', '整夜不睡', '复习到天亮', '复习熬夜'] | utt=['熬夜复习', '通宵', '整夜不睡'] | sibs=ss_ss_aoye_003(235_study_scene):熬夜 | ss_night_review_003(202_study_scene):熬夜复习 | sec_study_003(657_study_exam_chat):熬夜复习{user_addr} | stb_pull_an_all_nighter_001(914_study_burnout_vent):熬夜复习 | sa_late_night_001(139_study_anxiety):熬夜复习 | ss_overnight_003(168_study_struggle):熬夜复习
[131] ay_zai_huida_006 | file=222_are_you_there.yaml | intent=question | kws=['怎么不回', '秒回', '回我', '等回复', '回信息'] | utt=['怎么不回我', '秒回啊', '回我消息'] | sibs=rn_red_002(596_read_no_reply):秒回好爽 | ayt_quick_reply_001(518_are_you_there_ping):{user_addr}秒回啊 | op_zaima_002(389_online_ping):回我啊 | ay_zai_jingyaoda_009(222_are_you_there):秒回! | ay_hubu_001(255_are_you_there):怎么不回我 | bof_huidian_001(720_busy_or_free):{user_addr}回我
[132] dw_zaiganma_006 | file=390_doing_what.yaml | intent=playful | kws=['吃东西', '吃饭中', '吃零食', '在吃', '嘴巴动'] | utt=['在吃东西', '吃饭中', '吃零食'] | sibs=wdn_chifan_008(005_what_doing_now):在吃饭 | mc_snacks_008(161_meal_check_in):在吃零食 | wd_chifan_004(290_what_doing_now):在吃饭 | dye_eat_now_001(082_did_you_eat):正在吃 | wdn_eating_001(519_what_doing_now):我在吃饭 | wd_ganma_006(422_what_doing_now):在吃饭
[133] ew_buxiang_001 | file=053_emoji_wuwu_yingying.yaml | intent=complaint | kws=['不想动', '不想说话', '没力气', '提不起劲', '木了'] | utt=['不想动', '不想说话', '没力气'] | sibs=em_morning_mood_010(186_early_morning):起床气 | mw_lazy_001(120_morning_wakeup):床好舒服 | ot_ot_buyaodong_006(248_off_work_tired):不想动 | ld_lay_001(178_lazy_day_off):周末躺平 | mg_mg_huxipi_009(247_morning_grumpy):呼吸都累 | za_wuyu_005(285_zaoan_morning_greeting):再五分钟就起
[134] fo_blushing_001 | file=T9_flirt_owner.yaml | intent=playful | kws=['脸红啦', '脸红了', '你脸好红', '红透了', '红到耳朵'] | utt=['脸红啦', '你脸红了哦', '笨猫脸红透了'] | sibs=bla_lianhong_001(024_blush_avoid):脸红啥 | fb_blush_011(163_flirting_back):{user_addr}脸红了 | bd_lianhong_001(399_blush_dodge):笨猫脸红 | dp_lianhong_001(SSS8_drink_pressure):一杯就脸红 | rt_fanliao_007(398_reverse_tease):{user_addr}脸红了 | ktb_lianhong_001(365_kiss_tease_blush):脸红了
[135] hp_lumao_001 | file=056_head_pat_request.yaml | intent=playful | kws=['撸猫', '撸笨猫', '撸我', '摸猫', '摸毛'] | utt=['撸猫', '撸笨猫', '撸我'] | sibs=mt_motounainai_009(307_motoutou_pat_head):撸笨猫 | cet_ear_010(664_cat_ear_tease_chat):{user_addr}来撸猫 | hp_motou_003(396_head_pat_beg):撸猫 | cbr_rb_004(764_carry_belly_rub):挠下巴 | bcu_pet_001(490_beg_cuddle):求撸猫 | hpr_xunmao_001(727_head_pat_request):撸猫
[136] num_233_001 | file=NUM_230_237.yaml | intent=playful | kws=['233', '2333', '23333', '笑死', '233块'] | utt=['233', '2333', '23333笑死'] | sibs=eh_xiaosi_001(052_emoji_heihei_laugh):笑死 | ld_xiaosi_003(402_laugh_dead):哈哈哈 | nm_nm_233_002(250_number_meme):233 | lld_xiaosi_001(029_lol_dying):笑死 | ex_xiaosi_001(059_expression_xiaosi):笑死 | hhg_pufan_002(019_hehe_giggle):噗嗤
[137] greet_hello_001 | file=00_greetings.yaml | intent=greeting | kws=['你好', '嗨', 'hi', 'hello', '哈喽', '在吗'] | utt=['你好', '嗨米雪儿', '哈喽猫猫'] | sibs=ysc_yawn_007(648_yawn_sleepy_chat):笨猫现在困不困 | ayt_basic_001(079_are_you_there):在吗 | ayt_zaima_001(518_are_you_there_ping):{user_addr}在吗 | ay_huyi_001(255_are_you_there):喂喂喂 | ay_zaima_001(421_are_you_there):在吗喵 | cd_cd_caohui_002(233_cat_daily):猫薄荷
[138] cm_cm_chidao_005 | file=245_commute_chat.yaml | intent=complaint | kws=['迟到', '快迟', '晚了', '赶不上', '赶车'] | utt=['迟到', '快迟', '晚了'] | sibs=sr_zhaoji_001(281_shovel_return):迟到 | ct_late_004(166_commute_tired):要迟到了 | mfw_zaoanleichuang_001(351_morning_first_word):闹钟没听到 | sg_chichi_001(061_small_morning_grump):迟到 | za_wanqile_010(285_zaoan_morning_greeting):完蛋起晚了 | ws_ws_zaocan_009(236_work_slack):早到
[139] hs_hot_006 | file=652_hot_summer_chat.yaml | intent=playful | kws=['游泳', '泳池', '水边', '海边', '玩水'] | utt=['{user_addr}去游泳吗', '想去泳池', '海边玩水'] | sibs=nfs_yu_001(734_neko_fish_snack):{user_addr}游泳 | wli_chuamen_001(743_weekend_lazy_idea):出门走走 | flt_scenery_001(939_photo_filter_chat):风景滤镜 | hs_sum_009(588_hot_summer_complain):想去游泳 | qwo_swim_008(834_quick_workout):{user_addr}去游泳 | rny_mood_007(751_rainy_day_mood):踩水洼
[140] nb_nam_010 | file=607_name_brain_fart.yaml | intent=playful | kws=['一念之差', '突然记起', '名字闪现', '突然想到', '终于想起'] | utt=['一念之差', '突然记起', '名字闪现'] | sibs=nc_random_thought_007(197_night_chat):突然想到 | ta_recall_001(145_thinking_aloud):想起来了 | rcs_idea_share_008(835_random_chat_starter):{user_addr}分享想法 | rdt_suddenly_001(512_random_thought):突然想到 | lnc_random_thought_001(076_late_night_call):突然想问 | rc_random_thought_002(179_random_chat):突然想到
[141] ay_chile_005 | file=423_ate_yet.yaml | intent=complaint | kws=['吃多了', '撑死了', '吃撑了', '后悔吃', '太饱了'] | utt=['吃多了喵', '撑死了', '吃撑了'] | sibs=ep_sodbu_011(302_eat_proper_care):长胖了 | tw_baocan_001(057_tease_master_weight):吃多了 | ewc_too_much_004(329_eat_well_check):又吃多了 | nlb_lunch_too_full_001(077_noon_lunch_break):吃撑了 | nlb_full_008(320_noon_lunch_break):吃太饱了 | mc_finished_003(161_meal_check_in):吃完了
[142] hav_vb_007 | file=774_holiday_alone_vibe.yaml | intent=question | kws=['一个人看电影', '单人座', '影院', '怕被笑', '自在'] | utt=['一人看电影', '单人座', '影院去'] | sibs=wkd_movie_001(919_weekend_plan_chat):周末看电影 | wp_movie_007(180_weekend_plan):看电影 | la_pa_bei_xiao_001(KKK7_lurk_alone):{user_addr}人家怕被笑话 | dc_movie_010(211_drama_chat):看电影 | lb_papeixiao_001(FF7_language_barrier):怕被笑就不敢说 | wli_kandian_001(743_weekend_lazy_idea):看电影
[143] tjm_navigate_001 | file=113_traffic_jam.yaml | intent=complaint | kws=['导航乱', '高德乱', '百度地图', '走错路', '导航坑'] | utt=['导航乱', '{user_addr}高德乱', '百度地图'] | sibs=se_lost_way_001(141_street_encounter):迷路了 | cfr_lostdir_001(506_comfort_request):好迷茫 | bm_chuxing_001(811_bus_missed_run):出行规划 | rpl_zoujiu_001(740_road_pickup_lost):走错路 | ino_regret_001(541_insomnia_overthink):后悔 | re_get_lost_009(177_road_encounter):迷路了
[144] fm_double_eleven_010 | file=199_festival_moment.yaml | intent=playful | kws=['双十一', '剁手', '购物节', '双11', '618'] | utt=['双十一', '剁手', '购物节'] | sibs=shh_overspend_001(507_shopping_haul):又剁手 | hmt_double11_001(496_holiday_moment):双十一来了 | shop_double11_001(97_money_shopping):双 11 买啥 | wdn_shopping_001(081_what_doing_now):逛淘宝 | pay_shopping_001(921_payday_excited):大采购 | nw_double_eleven_001(HHH5_nothing_wear):双 11 必买几件
[145] rf_run_away_011 | file=192_reverse_flirt.yaml | intent=playful | kws=['跑了', '溜了', '闪现', '撤退', '躲起来'] | utt=['跑了', '溜了', '闪现'] | sibs=fh_want_retreat_001(QQQ9_fear_high):{user_addr}想退缩 | ao_duoqilai_001(LL6_anger_outburst):想躲起来冷静下 | bla_taoxie_005(024_blush_avoid):我跑了 | ld_hide_001(LL5_lonely_depression):{user_addr}想躲起来 | ts_shixiao_001(067_cat_tail_stepped):失踪 | fbb_run_away_010(335_flirt_back_blush):我逃了
[146] fo_counter_flirt_001 | file=T9_flirt_owner.yaml | intent=playful | kws=['反撩', '笨猫反撩', '猫猫撩我', '你来撩我', '反撩回去'] | utt=['笨猫反撩', '猫猫撩我啊', '你来撩我'] | sibs=ar_reverse_tease_005(176_anti_routine):反撩{user_addr} | dfb_fanqiao_001(366_dodge_flirt_back):反撩你 | afc_flirt_002(677_ambiguous_flirt_chat):{user_addr}笨猫反撩你 | rf_shy_back_007(192_reverse_flirt):反撩 | rt_fanliao_001(398_reverse_tease):笨猫反撩 | ktb_fanqi_001(365_kiss_tease_blush):反撩你
[147] rny_cozy_inside_001 | file=916_rainy_day_mood.yaml | intent=playful | kws=['窝在家', '不想出门', '听雨喝茶', '看剧', '雨天躺平'] | utt=['窝在家', '雨天躺平', '不想出门'] | sibs=sl_lansa_001(895_sunny_lazy_chat):懒得动 | el_dont_want_002(216_exercise_lazy):懒得动 | id_jiazhai_001(989_indoor_lazy_day):宅家一天 | wl_no_outdoor_001(V7_weekend_lazy):不想出门啊 | dp_social_avoid_001(III9_diet_pressure):社交都不敢去了 | hs_sum_010(588_hot_summer_complain):晒黑了
[148] ins_ndl_007 | file=878_instant_noodle.yaml | intent=complaint | kws=['泡面汤', '喝汤不健康', '太咸', '汤剩', '钠超标'] | utt=['汤', '太咸', '汤剩'] | sibs=tos_chaolei_010(032_takeout_slow):难吃 | cnl_cup_002(566_cup_noodle_late):{user_addr}知道不健康还吃 | cnl_cup_006(566_cup_noodle_late):泡面太咸口渴 | cnl_cup_012(566_cup_noodle_late):{user_addr}知道不健康还吃 | csa_crisp_002(567_crisp_snack_attack):{user_addr}沙发全是薯片渣 | cnl_cup_004(566_cup_noodle_late):吃多胖三斤
[149] lno_yejing_009 | file=002_late_night_owl.yaml | intent=playful | kws=['夜深人静', '静夜', '心静', '思绪', '沉默'] | utt=['夜深人静', '心也静下来', '思绪很多'] | sibs=mrn_quiet_007(348_moon_round_night):夜深人静 | lnd_yedezong_001(733_late_night_dreaming):夜深人静 | lnc_quietnight_001(484_late_night_chat):夜深人静 | ist_xiangshi_001(034_insomnia_thinking):想事失眠 | nc2_silent_001(134_night_chitchat):夜里好静 | ln_anjing_001(253_late_night_chat):夜深人静
[150] ss_late_review_008 | file=168_study_struggle.yaml | intent=complaint | kws=['复习晚', '来不及复习', '时间不够', '没时间复习', '复习不完'] | utt=['复习晚了', '来不及复习', '时间不够'] | sibs=scp_too_much_001(547_study_cram_panic):太多内容 | wtc_kuai_001(716_what_time_check):快迟到 | sb_no_time_001(GGG6_steam_backlog):想玩没时间 | mt_beishu_009(448_memorize_textbook):明天要默写 | lb_wuxiu_007(419_lunch_break_chat):午休才一小时 | lb_too_short_006(171_lunch_break):午休太短
[151] yaw_jetlag_001 | file=948_yawn_sleepy_drop.yaml | intent=complaint | kws=['时差', '倒时差', '困跨天', '昼夜颠倒', '生物钟'] | utt=['倒时差中', '时差好困', '{user_addr}昼夜颠倒'] | sibs=wtc_dianzhen_001(716_what_time_check):对一下时间 | jl_heibaidiandao_001(FF9_jet_lag):黑白颠倒了 | cc_jidian_010(388_clock_check):时差好难倒 | sps_jetlag_001(508_sleep_struggle):倒时差 | st_bai_tian_shui_wan_shang_nao_001(BB6_sleep_training):日夜颠倒了 | ma_zhongshen_009(315_morning_alarm):生物钟乱
[152] et_blueh_001 | file=129_emoji_text.yaml | intent=playful | kws=['无语', '醉了', '服气', '服了', '笑而不语'] | utt=['无语了', '醉了', '服气'] | sibs=amc_awsl_010(473_awsl_meme_chat):{user_addr}无语子 | mem_yamaze_001(917_random_meme_laugh):栓Q | meme_yuannia_001(70_internet_meme):无语死了 | lld_xinmianbao_008(029_lol_dying):无语 | ex_wuyu_001(059_expression_xiaosi):无语 | mb_beng_009(440_meme_bengbuzhu):无语子
